2026.01.20 12:12:06 INFO  Started: Metals version 1.6.4 in folders 'C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\Hospital_management_System, C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old' for client Visual Studio Code 1.108.1.
2026.01.20 12:12:07 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2026.01.20 12:12:07 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2026.01.20 12:12:07 INFO  Attempting to connect to the build server...
2026.01.20 12:12:07 INFO  Found a Bloop server running
2026.01.20 12:12:08 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\.metals\bsp.trace.json or C:\Users\EbrimaMbye\AppData\Local\scalameta\metals\cache\bsp.trace.json
2026.01.20 12:12:08 INFO  time: Connected to build server in 1.05s
2026.01.20 12:12:08 INFO  Connected to Build server: Bloop v2.0.17
2026.01.20 12:12:09 INFO  time: Imported build in 0.24s
2026.01.20 12:12:19 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2026.01.20 12:12:25 INFO  time: indexed workspace in 16s
2026.01.20 12:12:25 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\controller\DepartmentController.java
2026.01.20 12:12:25 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\model\Department.java
2026.01.20 12:12:25 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\repository\DepartmentRepository.java
2026.01.20 12:12:25 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\service\DepartmentService.java
2026.01.20 12:12:25 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\controller\DepartmentController.java
2026.01.20 12:12:25 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\service\DepartmentService.java
2026.01.20 12:12:25 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\repository\DepartmentRepository.java
2026.01.20 12:12:25 WARN  no build target for: C:\Users\EbrimaMbye\Desktop\A_Teaching\binta\FINAL PROJECT - PROGRAMMING II\hospital_management_system_old\hospital_management_system\src\main\java\com\mamadou\hospital_management_system\model\Department.java
2026.01.20 12:12:26 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/hospital_management_system_old/hospital_management_system/src/main/java/com/mamadou/hospital_management_system/controller/DepartmentController.java. Output:

2026.01.20 12:12:26 WARN  Running javac-semanticdb failed for file:///C:/Users/EbrimaMbye/Desktop/A_Teaching/binta/FINAL%20PROJECT%20-%20PROGRAMMING%20II/hospital_management_system_old/hospital_management_system/src/main/java/com/mamadou/hospital_management_system/service/DepartmentService.java. Output:

